Registro{idRegistro=1, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Carlos Pérez', monto=0.0, socio=N/A, empleado=Carlos, clase=N/A}
Registro{idRegistro=22, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='PAGO_CUOTA', descripcion='Pago de cuota del socio Camila Pérez', monto=35000.0, socio=Camila, empleado=N/A, clase=N/A}
Registro{idRegistro=23, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: Lucas Hernández', monto=0.0, socio=Lucas, empleado=N/A, clase=N/A}
Registro{idRegistro=24, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='PAGO_CUOTA', descripcion='Pago de cuota del socio Lucas Hernández', monto=105000.0, socio=Lucas, empleado=N/A, clase=N/A}
Registro{idRegistro=25, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: Ana Sánchez', monto=0.0, socio=Ana, empleado=N/A, clase=N/A}
Registro{idRegistro=26, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='PAGO_CUOTA', descripcion='Pago de cuota del socio Ana Sánchez', monto=210000.0, socio=Ana, empleado=N/A, clase=N/A}
Registro{idRegistro=27, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: Fernando Torres', monto=0.0, socio=Fernando, empleado=N/A, clase=N/A}
Registro{idRegistro=28, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: Martina Vargas', monto=0.0, socio=Martina, empleado=N/A, clase=N/A}
Registro{idRegistro=29, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='PAGO_CUOTA', descripcion='Pago de cuota del socio Martina Vargas', monto=35000.0, socio=Martina, empleado=N/A, clase=N/A}
Registro{idRegistro=30, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: Bruno Rossi', monto=0.0, socio=Bruno, empleado=N/A, clase=N/A}
Registro{idRegistro=31, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_CLASE', descripcion='Se agregó clase: Crossfit', monto=0.0, socio=N/A, empleado=N/A, clase=Crossfit}
Registro{idRegistro=32, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_CLASE', descripcion='Se agregó clase: Funcional', monto=0.0, socio=N/A, empleado=N/A, clase=Funcional}
Registro{idRegistro=33, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_CLASE', descripcion='Se agregó clase: Aerobico', monto=0.0, socio=N/A, empleado=N/A, clase=Aerobico}
Registro{idRegistro=34, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_CLASE', descripcion='Se agregó clase: Hyorx', monto=0.0, socio=N/A, empleado=N/A, clase=Hyorx}
Registro{idRegistro=35, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_CLASE', descripcion='Se agregó clase: Musculacion', monto=0.0, socio=N/A, empleado=N/A, clase=Musculacion}
Registro{idRegistro=36, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_CLASE', descripcion='Se agregó clase: Zumba', monto=0.0, socio=N/A, empleado=N/A, clase=Zumba}
Registro{idRegistro=37, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_CLASE', descripcion='Se agregó clase: Crossfit', monto=0.0, socio=N/A, empleado=N/A, clase=Crossfit}
Registro{idRegistro=38, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_CLASE', descripcion='Se agregó clase: Funcional', monto=0.0, socio=N/A, empleado=N/A, clase=Funcional}
Registro{idRegistro=39, fecha=Sun Nov 16 12:32:13 GMT-03:00 2025, tipo='PAGO_CUOTA', descripcion='Pago de cuota del socio Juan López', monto=35000.0, socio=Juan, empleado=N/A, clase=N/A}
